Simulation,NumberOfGenes,DEgenes,Upregulated,TopCounts/DE,Correct/TopCounts,Correct/DE
353,12257,2947,0.646265735,0.277210813,0.975520196,0.270424747
354,10945,1137,0.511796707,0.218994142,0.975903614,0.213717175
355,10214,676,0.556626341,0.177367207,0.975,0.172933027
356,9112,1166,0.596041811,0.254528617,0.986531987,0.251100622
357,11658,1650,0.525999437,0.233820363,0.981865285,0.229580097
358,10059,1066,0.549860604,0.247642186,0.984848485,0.243890032
359,10946,2904,0.597762631,0.275748158,0.987515605,0.272305609
360,9096,2373,0.484760533,0.280551465,0.986486486,0.276760229
361,10587,3148,0.601291905,0.281130055,0.988700565,0.277953445
362,9126,2625,0.48967411,0.282204272,0.983805668,0.277634162
363,9694,2149,0.539753763,0.254983299,0.983576642,0.250795617
364,11741,1981,0.491636871,0.248773619,0.969574037,0.241204442
365,9007,874,0.57634856,0.210485579,0.989130435,0.208197693
366,9574,2846,0.470197048,0.30039377,0.987134503,0.296529055
367,10185,1458,0.509351206,0.246883535,0.977777778,0.241397234
368,10404,2494,0.524365344,0.280570308,0.974285714,0.273355643
369,12009,1964,0.613755536,0.266770604,0.965648855,0.257606728
370,9498,2714,0.479445214,0.295415261,0.983790524,0.290626734
371,12345,1199,0.478899965,0.195086894,0.97008547,0.189250961
372,8911,1819,0.503117352,0.290684268,0.986767486,0.286837784
373,11526,1721,0.470916475,0.259630197,0.982102908,0.254983571
374,10334,1747,0.538356505,0.267859655,0.987179487,0.264425557
375,9367,1754,0.481270644,0.26781885,0.987234043,0.264399886
376,10336,2481,0.623598774,0.263991397,0.980152672,0.258751873
377,12104,2238,0.501160171,0.263178114,0.977928693,0.257369429
378,10206,569,0.571234409,0.184303525,1,0.184303525
379,10719,734,0.572108063,0.206808805,0.953947368,0.197284715
380,9485,2055,0.453595384,0.267625547,0.990909091,0.265192588
381,11505,3176,0.539001551,0.290929265,0.981601732,0.28557667
382,11554,2745,0.63866769,0.260775664,0.977653631,0.254948275
383,12309,1239,0.481706359,0.205807018,0.976470588,0.200964499
384,10844,2423,0.52897717,0.284696465,0.984057971,0.280157826
385,8174,2005,0.526009384,0.266320841,0.983146067,0.261832288
386,8314,890,0.565405901,0.245868142,0.97260274,0.239132029
387,10812,1696,0.455314637,0.238096207,0.975247525,0.232202736
388,12238,2448,0.648185481,0.26265801,0.982892691,0.258164638
389,12260,1174,0.62300975,0.220472047,0.972972973,0.214513343
